TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,SUSPICIOUS
14400000,1406600,1406600,1406600,1406600,2160,0
14713000,1406300,1406300,1406300,1406300,180,0
14856000,1406400,1406400,1406400,1406400,100,0
14952000,1406400,1406400,1406400,1406400,100,0
14953000,1406400,1406400,1406400,1406400,500,0
14955000,1406100,1406100,1406100,1406100,510,0
15058000,1405800,1405800,1405800,1405800,100,0
15648000,1405100,1405100,1405100,1405100,500,0
16845000,1407000,1407000,1407000,1407000,400,0
16847000,1407000,1407000,1407000,1407000,500,0
16982000,1407200,1407300,1407200,1407300,1000,0
17012000,1407300,1407300,1407300,1407300,500,0
17019000,1407300,1407300,1407300,1407300,500,0
17027000,1407300,1407300,1407300,1407300,300,0
17038000,1407300,1407300,1407300,1407300,500,0
17052000,1407300,1407300,1407300,1407300,300,0
17059000,1407400,1407500,1407400,1407500,1600,0
17721000,1407800,1407800,1407800,1407800,300,0
17786000,1407800,1407800,1407800,1407800,190,0
17795000,1407800,1407800,1407800,1407800,300,0
17797000,1407800,1407800,1407800,1407800,300,0
18327000,1407200,1407200,1407200,1407200,400,0
19431000,1407600,1407600,1407600,1407600,300,0
19439000,1407600,1407600,1407600,1407600,500,0
19444000,1407600,1407600,1407600,1407600,500,0
19447000,1407600,1407600,1407600,1407600,500,0
19525000,1407600,1407600,1407600,1407600,300,0
19529000,1407600,1407600,1407600,1407600,200,0
20189000,1409300,1409900,1409300,1409900,1300,0
20335000,1410100,1410100,1410100,1410100,300,0
20555000,1409800,1409800,1409800,1409800,100,0
21215000,1409800,1409800,1409800,1409800,200,0
21294000,1410100,1410100,1410100,1410100,100,0
21410000,1410100,1410100,1410100,1410100,100,0
21555000,1410100,1410100,1410100,1410100,3900,0
21842000,1409800,1409800,1409600,1409600,10000,0
22393000,1409300,1409300,1409300,1409300,1000,0
22618000,1409600,1409600,1409600,1409600,300,0
22770000,1409400,1409400,1409400,1409400,100,0
22810000,1409600,1409600,1409600,1409600,36000,0
22812000,1409600,1409600,1409600,1409600,14000,0
22814000,1409600,1409600,1409600,1409600,9000,0
22869000,1409600,1409600,1409600,1409600,21500,0
23329000,1409100,1409100,1409100,1409100,700,0
23347000,1408800,1408800,1408800,1408800,2000,0
23420000,1409100,1409100,1409100,1409100,400,0
23643000,1408300,1408300,1408300,1408300,300,0
23801000,1408800,1408800,1408800,1408800,2000,0
24040000,1409300,1409300,1409300,1409300,200,0
24150000,1409100,1409100,1409100,1409100,200,0
24423000,1409400,1409400,1409400,1409400,3000,0
24483000,1409600,1409600,1409600,1409600,14700,0
24508000,1409500,1409500,1409500,1409500,2000,0
24526000,1409400,1409400,1409400,1409400,1000,0
24603000,1408500,1408500,1408500,1408500,100,0
24618000,1408500,1408500,1408500,1408500,10000,0
24694000,1408900,1408900,1408900,1408900,300,0
24720000,1408600,1408600,1408600,1408600,5000,0
24827000,1409000,1409000,1409000,1409000,20000,0
24837000,1409000,1409000,1409000,1409000,10000,0
24872000,1409300,1409300,1409300,1409300,1000,0
25002000,1409000,1409000,1409000,1409000,500,0
25260000,1408700,1408700,1408700,1408700,100,0
25276000,1409000,1409000,1409000,1409000,500,0
25280000,1409200,1409200,1409200,1409200,500,0
25286000,1409000,1409000,1409000,1409000,10000,0
25294000,1409000,1409000,1409000,1409000,100,0
25295000,1409200,1409200,1409200,1409200,500,0
25306000,1408700,1408700,1408700,1408700,200,0
25324000,1409000,1409000,1409000,1409000,2500,0
25351000,1408700,1408700,1408700,1408700,500,0
25358000,1408700,1408700,1408700,1408700,400,0
25368000,1408900,1408900,1408900,1408900,100,0
25393000,1409100,1409100,1409100,1409100,10000,0
25446000,1408900,1408900,1408900,1408900,5612,0
25448000,1409100,1409100,1409100,1409100,5000,0
25457000,1408900,1408900,1408900,1408900,5000,0
25473000,1409100,1409100,1409100,1409100,5000,0
25530000,1409100,1409100,1408900,1409100,8300,0
25563000,1408900,1408900,1408900,1408900,4000,0
25576000,1409100,1409100,1409100,1409100,2000,0
25623000,1409100,1409100,1409100,1409100,10000,0
25637000,1409200,1409400,1409200,1409400,11600,0
25675000,1409400,1409400,1409400,1409400,300,0
25817000,1409000,1409000,1409000,1409000,2600,0
25859000,1409200,1409200,1409200,1409200,400,0
25871000,1409200,1409200,1409200,1409200,600,0
25878000,1409200,1409500,1409200,1409500,5600,0
25916000,1409100,1409100,1409100,1409100,200,0
25922000,1409100,1409100,1409100,1409100,100,0
25945000,1409100,1409100,1409100,1409100,1100,0
25957000,1409100,1409100,1409100,1409100,600,0
25988000,1409000,1409000,1409000,1409000,100,0
25992000,1408900,1408900,1408900,1408900,100,0
26010000,1408900,1409200,1408900,1409200,5600,0
26039000,1408800,1408800,1408800,1408800,5000,0
26085000,1408900,1408900,1408900,1408900,2830,0
26123000,1409100,1409100,1408900,1408900,5295,0
26132000,1409100,1409100,1409100,1409100,200,0
26178000,1409100,1409100,1409100,1409100,3700,0
26263000,1409400,1409400,1409400,1409400,5000,0
26307000,1409400,1409400,1409400,1409400,100,0
26436000,1409200,1409200,1409200,1409200,100,0
26538000,1409200,1409200,1409200,1409200,4000,0
26602000,1409300,1409300,1409300,1409300,7000,0
26621000,1409400,1409400,1409400,1409400,200,0
26623000,1409500,1409500,1409500,1409500,1100,0
26624000,1409800,1409800,1409800,1409800,12200,0
26632000,1409300,1409300,1409300,1409300,3600,0
26639000,1409300,1409300,1409300,1409300,500,0
26675000,1409200,1409200,1409200,1409200,300,0
26689000,1409200,1409200,1409200,1409200,200,0
26695000,1409200,1409300,1409200,1409300,5300,0
26725000,1409300,1409300,1409300,1409300,2000,0
26733000,1409400,1409400,1409300,1409300,6000,0
26784000,1409100,1409100,1409100,1409100,10000,0
26833000,1409100,1409100,1409100,1409100,100,0
26866000,1409100,1409100,1409100,1409100,2000,0
26940000,1409400,1409400,1409400,1409400,1000,0
26955000,1409500,1409500,1409500,1409500,1000,0
26989000,1409600,1409600,1409600,1409600,180,0
27002000,1409600,1409600,1409600,1409600,180,0
27003000,1409600,1409600,1409600,1409600,180,0
27040000,1409700,1409700,1409700,1409700,2000,0
27057000,1409500,1409500,1409500,1409500,4000,0
27115000,1409500,1409500,1409500,1409500,500,0
27143000,1409300,1409300,1409300,1409300,1500,0
27160000,1409200,1409200,1409200,1409200,500,0
27323000,1409100,1409100,1409100,1409100,100,0
27449000,1409500,1409500,1409500,1409500,300,0
27456000,1409500,1409500,1409500,1409500,3000,0
27506000,1409300,1409300,1409300,1409300,100,0
27598000,1409500,1409700,1409500,1409700,2900,0
27792000,1409300,1409300,1409300,1409300,1900,0
27861000,1409500,1409500,1409500,1409500,5000,0
27874000,1409300,1409300,1409300,1409300,300,0
27977000,1409000,1409000,1409000,1409000,100,0
27984000,1409000,1409000,1409000,1409000,1825,0
27997000,1409200,1409400,1409200,1409400,6000,0
28032000,1409300,1409300,1409300,1409300,2000,0
28040000,1409500,1409500,1409500,1409500,500,0
28056000,1409500,1409900,1409500,1409800,15026,0
28072000,1409900,1409900,1409900,1409900,910,0
28073000,1410000,1410000,1410000,1410000,4975,0
28084000,1410000,1410100,1410000,1410100,1100,0
28097000,1410200,1410200,1410200,1410200,200,0
28127000,1409800,1409800,1409800,1409800,150,0
28132000,1410100,1410100,1410100,1410100,100,0
28151000,1410000,1410000,1410000,1410000,2000,0
28156000,1410000,1410300,1410000,1410300,3500,0
28164000,1410100,1410100,1410100,1410100,5000,0
28169000,1410200,1410200,1410200,1410200,700,0
28178000,1410000,1410000,1409900,1409900,500,0
28220000,1409800,1409800,1409800,1409800,200,0
28245000,1409800,1409800,1409800,1409800,700,0
28251000,1410000,1410000,1410000,1410000,100,0
28268000,1409900,1410000,1409900,1410000,2100,0
28280000,1409900,1409900,1409900,1409900,500,0
28286000,1409700,1409700,1409700,1409700,4000,0
28302000,1410000,1410000,1410000,1410000,5000,0
28342000,1409800,1409800,1409700,1409700,1400,0
28356000,1409700,1409700,1409700,1409700,100,0
28414000,1409600,1409600,1409600,1409600,300,0
28446000,1409900,1409900,1409900,1409900,500,0
28466000,1409900,1409900,1409900,1409900,100,0
28479000,1410000,1410000,1410000,1410000,6500,0
28501000,1410100,1410100,1410100,1410100,1000,0
28539000,1410200,1410200,1410200,1410200,2000,0
